,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
482,Gunungpati,350000000.0,2,48,125,110.3545706,-7.092623700000001
483,Banyumanik,1150000000.0,3,150,96,110.42012735052951,-7.06802325
484,Semarang,4500000000.0,5,260,220,110.4229104,-6.9903987999999995
488,Candisari,2250000000.0,3,280,208,110.4308380541579,-7.01431585
489,Tembalang,900000000.0,3,70,126,110.45952907126915,-7.04583375
490,Tembalang,600000000.0,3,38,128,110.45952907126915,-7.04583375
491,Tembalang,600000000.0,3,50,128,110.45952907126915,-7.04583375
492,Tembalang,1500000000.0,3,160,90,110.45952907126915,-7.04583375
494,Semarang,900000000.0,2,105,105,110.4229104,-6.9903987999999995
495,Banyumanik,675000000.0,3,70,100,110.42012735052951,-7.06802325
496,Gunungpati,350000000.0,2,36,120,110.3545706,-7.092623700000001
497,Sadeng,3500000000.0,4,250,249,110.36805729999999,-7.030763
498,Tlogosari,1250000000.0,1,250,176,110.4595685,-6.9839788
499,Ngaliyan,1495000000.0,3,102,120,110.32811600554784,-6.99605755
500,Jangli,2950000000.0,3,200,140,110.43926040000001,-7.0304178
501,Gayamsari,600000000.0,3,60,103,110.44646192711384,-6.9777875
502,Semarang,850000000.0,4,200,130,110.4229104,-6.9903987999999995
503,Tembalang,1000000000.0,3,182,120,110.45952907126915,-7.04583375
504,Banyumanik,3000000000.0,3,129,248,110.42012735052951,-7.06802325
506,Banyumanik,425000000.0,2,50,88,110.42012735052951,-7.06802325
507,Banyumanik,1033000000.0,4,100,223,110.42012735052951,-7.06802325
508,Banyumanik,547500000.0,3,60,83,110.42012735052951,-7.06802325
509,Banyumanik,750000000.0,3,108,108,110.42012735052951,-7.06802325
511,Banyumanik,3500000000.0,5,240,180,110.42012735052951,-7.06802325
512,Semarang,275000000.0,2,50,60,110.4229104,-6.9903987999999995
513,Ngaliyan,1000000000.0,3,120,186,110.32811600554784,-6.99605755
514,Ngaliyan,1000000000.0,5,180,212,110.32811600554784,-6.99605755
515,Ngaliyan,525000000.0,2,36,120,110.32811600554784,-6.99605755
