,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
868,Pleburan,1550000000.0,3,200,102,110.42420619999999,-6.9953307
871,Tembalang,900000000.0,5,113,113,110.45952907126915,-7.04583375
873,Semarang,750000000.0,2,72,145,110.4229104,-6.9903987999999995
874,Ngaliyan,1125000000.0,3,45,120,110.32811600554784,-6.99605755
875,Tembalang,1523469000.0,2,96,120,110.45952907126915,-7.04583375
876,Manyaran,2000000000.0,3,128,96,110.3854405,-7.0027694
877,Pekunden,2900000000.0,6,167,167,110.4195953,-6.986975
880,Semarang,2000000000.0,4,280,173,110.4229104,-6.9903987999999995
883,Semarang,1400000000.0,5,200,237,110.4229104,-6.9903987999999995
884,Semarang,1200000000.0,2,25,25,110.4229104,-6.9903987999999995
885,Banyumanik,380000000.0,2,40,80,110.42012735052951,-7.06802325
886,Pedurungan,550000000.0,3,96,96,110.47735690000002,-7.0176717
888,Gajahmungkur,3100000000.0,4,183,199,110.41821085,-7.016690199999998
896,Semarang,700000000.0,2,53,120,110.4229104,-6.9903987999999995
897,Tambakharjo,1400000000.0,2,100,153,110.3667517,-6.9804284
899,Candi,2500000000.0,4,170,205,110.42878359999999,-7.009822099999999
900,Tembalang,800000000.0,2,90,112,110.45952907126915,-7.04583375
902,Semarang,437900000.0,2,45,120,110.4229104,-6.9903987999999995
906,Tembalang,1651300000.0,3,126,100,110.45952907126915,-7.04583375
908,Sendangmulyo,875000000.0,3,120,135,110.4749403,-7.0405218
911,Pedurungan,499000000.0,2,60,86,110.4738378,-7.0027211
913,Semarang,360000000.0,2,60,60,110.4229104,-6.9903987999999995
914,Semarang,575000000.0,2,45,105,110.4229104,-6.9903987999999995
915,Semarang,675000000.0,2,50,93,110.4229104,-6.9903987999999995
916,Semarang,900000000.0,3,60,182,110.4229104,-6.9903987999999995
917,Banyumanik,804000000.0,3,80,120,110.42012735052951,-7.06802325
918,Banyumanik,385000000.0,2,40,80,110.42012735052951,-7.06802325
919,Srondol,1200000000.0,3,190,140,110.40972920000002,-7.055658599999999
920,Sampangan,450000221.0,2,45,110,110.391791,-7.011075099999999
921,Tembalang,229000000.0,2,30,76,110.45952907126915,-7.04583375
922,Jangli,2750000000.0,3,180,200,110.43926040000001,-7.0304178
923,Semarang,3200000000.0,2,220,96,110.4229104,-6.9903987999999995
926,Bojong,2700000000.0,5,180,211,110.4016517,-6.983848399999999
928,Jatingaleh,575000000.0,2,45,72,110.423676,-7.0255334000000005
929,Banyumanik,1050000000.0,4,100,180,110.42012735052951,-7.06802325
930,Banyumanik,999000000.0,3,140,140,110.42012735052951,-7.06802325
931,Kranggan,650000000.0,2,65,115,110.4263534,-6.9765142
932,Gunungpati,389000000.0,2,65,120,110.3545706,-7.092623700000001
933,Lamper,530000000.0,2,45,91,110.4389025,-7.0027312
934,Semarang,550000000.0,2,80,100,110.4229104,-6.9903987999999995
937,Semarang,900000000.0,4,150,194,110.4229104,-6.9903987999999995
938,Muktiharjo,620000000.0,3,96,96,110.4585159,-6.973745699999999
939,Banyumanik,3500000000.0,3,325,200,110.42012735052951,-7.06802325
940,Gajahmungkur,1250000000.0,3,120,120,110.41821085,-7.016690199999998
941,Kalicari,1850000000.0,4,180,211,110.45616740000001,-6.9947557
942,Miroto,1900000000.0,4,250,150,110.4185768,-6.9836572
944,Tlogomulyo,395000000.0,2,45,72,110.48109050000001,-6.9942871
945,Jangli,1450000000.0,2,65,144,110.43926040000001,-7.0304178
946,Rejosari,1200000000.0,3,185,185,110.4383227,-6.979735099999999
947,Plamongansari,650000000.0,3,120,108,110.48603882799999,-7.0240899500000005
949,Manyaran,1000000000.0,4,160,79,110.3854405,-7.0027694
951,Kembangarum,850000000.0,3,217,217,110.3743815,-6.9959484
952,Kembangarum,1000000000.0,4,300,210,110.3743815,-6.9959484
953,Banyumanik,910000000.0,3,100,179,110.42012735052951,-7.06802325
954,Krapyak,1700000000.0,3,150,150,110.37030459999998,-6.983488900000001
956,Semarang,475000000.0,3,80,91,110.4229104,-6.9903987999999995
957,Banyumanik,360000000.0,2,42,67,110.42012735052951,-7.06802325
959,Brumbungan,9250000000.0,5,320,238,110.42594840000002,-6.9828863
960,Banyumanik,437400000.0,3,60,69,110.42012735052951,-7.06802325
961,Semarang,450000000.0,1,100,60,110.4229104,-6.9903987999999995
964,Brumbungan,150500000.0,2,27,60,110.42594840000002,-6.9828863
965,Tembalang,600000000.0,2,32,72,110.45952907126915,-7.04583375
966,Pamularsih,950000000.0,4,130,153,110.3984635,-6.9941508
967,Tembalang,600000000.0,3,54,119,110.45952907126915,-7.04583375
968,Banyumanik,750000000.0,2,100,145,110.42012735052951,-7.06802325
969,Banyumanik,850000000.0,3,100,154,110.42012735052951,-7.06802325
971,Sambiroto,650000000.0,2,36,110,110.45565500000001,-7.0324677
973,Banyumanik,875000000.0,3,70,160,110.42012735052951,-7.06802325
975,Banyumanik,875000000.0,3,70,160,110.42012735052951,-7.06802325
976,Banyumanik,875000000.0,2,70,160,110.42012735052951,-7.06802325
977,Ngaliyan,680000000.0,2,138,120,110.32811600554784,-6.99605755
980,Banyumanik,2400000000.0,6,227,210,110.42012735052951,-7.06802325
984,Semarang,970000000.0,3,69,72,110.4229104,-6.9903987999999995
985,Banyumanik,875000000.0,3,70,160,110.42012735052951,-7.06802325
988,Purwosari,1400000000.0,5,190,190,110.415306,-6.9694444
990,Kedungmundu,480000000.0,2,35,82,110.46755300000001,-7.020575900000001
991,Banyumanik,271034400.0,2,38,128,110.42012735052951,-7.06802325
992,Banyumanik,270000000.0,2,38,128,110.42012735052951,-7.06802325
993,Sampangan,451000000.0,2,45,117,110.391791,-7.011075099999999
994,Tambakharjo,1600000000.0,2,75,180,110.3667517,-6.9804284
996,Tambakharjo,990000000.0,3,108,108,110.3667517,-6.9804284
997,Tlogosari,769999999.0,3,71,84,110.4706497,-6.9874018
998,Semarang,650000000.0,3,120,120,110.4229104,-6.9903987999999995
999,Banyumanik,750000000.0,3,130,100,110.42012735052951,-7.06802325
1000,Semarang,1500000000.0,3,150,158,110.4229104,-6.9903987999999995
1001,Kedungmundu,750000000.0,4,100,86,110.46755300000001,-7.020575900000001
1002,Tembalang,825000000.0,2,90,110,110.45952907126915,-7.04583375
1003,Pedurungan,500000000.0,3,90,108,110.47735690000002,-7.0176717
1004,Pedurungan,395000000.0,2,45,72,110.4738378,-7.0027211
1005,Pedurungan,770000000.0,3,71,84,110.4738378,-7.0027211
1007,Gunungpati,435000000.0,2,40,134,110.3545706,-7.092623700000001
1008,Ngaliyan,600000000.0,2,50,127,110.32811600554784,-6.99605755
1011,Semarang,750000000.0,3,100,120,110.4229104,-6.9903987999999995
1012,Semarang,650000000.0,2,65,115,110.4229104,-6.9903987999999995
1013,Kalicari,1200000000.0,4,176,176,110.45616740000001,-6.9947557
1014,Banyumanik,680000000.0,3,63,84,110.42012735052951,-7.06802325
1015,Ngaliyan,690000000.0,2,138,120,110.32811600554784,-6.99605755
1016,Tembalang,270000000.0,2,45,102,110.45952907126915,-7.04583375
1017,Panggung,260000000.0,2,100,100,110.4050445,-6.958015299999999
1019,Sampangan,295000000.0,2,36,120,110.391791,-7.011075099999999
1020,Pedurungan,425000000.0,2,45,92,110.4826054,-7.008032400000001
1022,Jangli,2000000000.0,2,90,144,110.43926040000001,-7.0304178
1023,Tembalang,693000000.0,3,57,96,110.45952907126915,-7.04583375
1026,Sambiroto,1700000000.0,4,150,179,110.45565500000001,-7.0324677
1029,Banyumanik,1350000000.0,3,150,96,110.42012735052951,-7.06802325
1032,Sendangmulyo,650000000.0,3,100,105,110.4749403,-7.0405218
1033,Banyumanik,365000000.0,2,36,80,110.42012735052951,-7.06802325
1034,Genuk,170000000.0,2,60,60,110.47772717287395,-6.9655030500000015
1035,Semarang,580000000.0,2,45,135,110.4229104,-6.9903987999999995
1036,Ngaliyan,800000000.0,3,153,168,110.32811600554784,-6.99605755
1037,Ngaliyan,550000000.0,2,45,90,110.32811600554784,-6.99605755
1038,Lamper,1500000000.0,4,182,182,110.43658459999999,-7.007481100000001
1040,Manyaran,1350000000.0,3,90,159,110.3854405,-7.0027694
1041,Manyaran,325000000.0,1,60,60,110.3854405,-7.0027694
1042,Genuk,300000000.0,2,36,72,110.47772717287395,-6.9655030500000015
1044,Tembalang,425000000.0,2,45,77,110.45952907126915,-7.04583375
1045,Gayamsari,160000000.0,4,82,84,110.44646192711384,-6.9777875
1047,Tembalang,400000000.0,2,48,78,110.45952907126915,-7.04583375
1048,Palebon,750000000.0,2,127,127,110.4658513,-7.0043041
1049,Palebon,650000000.0,2,80,111,110.4658513,-7.0043041
1050,Tembalang,150000000.0,2,36,78,110.45952907126915,-7.04583375
1051,Pedurungan,575220000.0,3,60,100,110.4738378,-7.0027211
1053,Tembalang,600000000.0,2,38,128,110.45952907126915,-7.04583375
1054,Tembalang,215000000.0,2,36,74,110.45952907126915,-7.04583375
1055,Tembalang,1300000000.0,3,190,195,110.45952907126915,-7.04583375
1056,Tembalang,600000000.0,2,38,128,110.45952907126915,-7.04583375
1057,Tembalang,800000000.0,2,58,72,110.45952907126915,-7.04583375
1058,Tlogosari,770000000.0,3,71,84,110.4706497,-6.9874018
1059,Banyumanik,2500000000.0,5,300,225,110.42012735052951,-7.06802325
1060,Semarang,800000000.0,2,100,120,110.4229104,-6.9903987999999995
1061,Puri,680000000.0,4,112,112,110.38619879999999,-6.970017299999999
1065,Panggung,650000000.0,1,120,100,110.4050445,-6.958015299999999
1066,Manyaran,850000000.0,2,160,158,110.3854405,-7.0027694
1068,Jangli,665750000.0,2,51,90,110.43926040000001,-7.0304178
1069,Jangli,3150000000.0,4,135,189,110.43926040000001,-7.0304178
1070,Banyumanik,1800000000.0,4,275,232,110.42012735052951,-7.06802325
1072,Sambiroto,1290000000.0,3,100,160,110.45565500000001,-7.0324677
1073,Tembalang,795000000.0,3,75,117,110.45952907126915,-7.04583375
1074,Pedurungan,658000000.0,2,45,120,110.4738378,-7.0027211
1083,Tembalang,570000000.0,2,40,62,110.45952907126915,-7.04583375
1084,Banyumanik,2500000000.0,4,160,170,110.42012735052951,-7.06802325
1085,Tembalang,1400000000.0,4,270,150,110.45952907126915,-7.04583375
1086,Tembalang,850000000.0,3,120,133,110.45952907126915,-7.04583375
1087,Pedurungan,559000000.0,3,73,65,110.4738378,-7.0027211
1088,Semarang,800000000.0,2,60,132,110.4229104,-6.9903987999999995
1089,Puri,1500000000.0,5,240,192,110.38619879999999,-6.970017299999999
1090,Banyumanik,345000000.0,2,36,71,110.42012735052951,-7.06802325
1098,Lamper,262000000.0,2,36,77,110.4442827,-7.006344400000001
1100,Banyumanik,299000000.0,2,36,72,110.42012735052951,-7.06802325
1102,Srondol,255000000.0,2,30,60,110.40972920000002,-7.055658599999999
1103,Sendangmulyo,275000000.0,2,36,60,110.4749403,-7.0405218
1106,Banyumanik,290000000.0,2,40,60,110.42012735052951,-7.06802325
1107,Manyaran,450000000.0,2,40,120,110.3854405,-7.0027694
1110,Candisari,2700000000.0,3,170,170,110.4308380541579,-7.01431585
1111,Tembalang,1285000000.0,3,69,72,110.45952907126915,-7.04583375
1113,Tembalang,950000000.0,5,192,96,110.45952907126915,-7.04583375
1114,Semarang,1250000000.0,4,102,161,110.4229104,-6.9903987999999995
1115,Semarang,2250000000.0,6,300,200,110.4229104,-6.9903987999999995
1118,Semarang,1205000000.0,3,136,75,110.4229104,-6.9903987999999995
1120,Semarang,1850000000.0,5,180,240,110.4229104,-6.9903987999999995
1121,Semarang,1675000000.0,4,200,175,110.4229104,-6.9903987999999995
1122,Tembalang,3900000000.0,3,250,181,110.45952907126915,-7.04583375
1123,Banyumanik,515000000.0,3,60,71,110.42012735052951,-7.06802325
1124,Tembalang,290000000.0,2,36,72,110.45952907126915,-7.04583375
1125,Manyaran,450000000.0,2,50,125,110.3854405,-7.0027694
1126,Banyumanik,480000000.0,2,45,84,110.42012735052951,-7.06802325
1130,Semarang,2750000000.0,4,276,138,110.4229104,-6.9903987999999995
1131,Semarang,2000000000.0,5,200,220,110.4229104,-6.9903987999999995
1133,Jatingaleh,1200000000.0,4,250,196,110.423676,-7.0255334000000005
1134,Tembalang,1700000000.0,2,110,162,110.45952907126915,-7.04583375
1135,Tlogomulyo,350000000.0,2,45,74,110.48109050000001,-6.9942871
1136,Pleburan,2250000000.0,3,100,147,110.42420619999999,-6.9953307
1137,Semarang,407000000.0,2,45,70,110.4229104,-6.9903987999999995
1138,Semarang,557000000.0,2,50,80,110.4229104,-6.9903987999999995
1139,Gayamsari,460000000.0,2,50,84,110.44646192711384,-6.9777875
1140,Gajahmungkur,556400000.0,2,45,101,110.41821085,-7.016690199999998
1141,Karangayu,650000000.0,3,100,123,110.39480390000001,-6.979164
1142,Ngaliyan,1125000000.0,3,75,120,110.32811600554784,-6.99605755
1144,Tembalang,1309777150.0,3,100,120,110.45952907126915,-7.04583375
1145,Semarang,650000000.0,2,84,84,110.4229104,-6.9903987999999995
1146,Semarang,335000000.0,2,36,72,110.4229104,-6.9903987999999995
1147,Ngaliyan,2600000000.0,6,300,200,110.32811600554784,-6.99605755
1148,Tembalang,535001470.0,2,40,90,110.45952907126915,-7.04583375
1149,Ngaliyan,1393900000.0,3,69,165,110.32811600554784,-6.99605755
1150,Ngaliyan,800000000.0,4,85,90,110.32811600554784,-6.99605755
1151,Ngaliyan,720000000.0,3,108,108,110.32811600554784,-6.99605755
1152,Banyumanik,395000000.0,2,36,90,110.42012735052951,-7.06802325
1153,Gunungpati,380000000.0,2,40,120,110.3545706,-7.092623700000001
1154,Tembalang,2923646000.0,4,194,220,110.45952907126915,-7.04583375
1155,Sambiroto,653000000.0,2,50,97,110.45565500000001,-7.0324677
1157,Sambiroto,713000000.0,2,50,117,110.45565500000001,-7.0324677
1158,Tembalang,894606500.0,3,59,105,110.45952907126915,-7.04583375
1159,Sambiroto,850000000.0,3,140,80,110.45565500000001,-7.0324677
1160,Ngaliyan,1150000000.0,3,75,120,110.32811600554784,-6.99605755
1161,Lamper,1800000000.0,2,111,115,110.4442827,-7.006344400000001
1162,Kemijen,153000000.0,2,30,60,110.43640359999999,-6.9571239
1164,Ngemplak,900000000.0,2,60,72,110.39130136522728,-7.0045617500000015
1165,Ngaliyan,1175000000.0,3,75,130,110.32811600554784,-6.99605755
1166,Ngaliyan,550000000.0,2,45,120,110.32811600554784,-6.99605755
1168,Pedurungan,350000000.0,2,36,69,110.4738378,-7.0027211
1170,Tawangsari,1600000000.0,3,178,153,110.38756670000001,-6.9692814
1171,Ngaliyan,795000000.0,3,75,120,110.32811600554784,-6.99605755
1172,Tembalang,876000000.0,3,150,90,110.45952907126915,-7.04583375
1173,Ngaliyan,1000000000.0,3,120,186,110.32811600554784,-6.99605755
1174,Semarang,3850000000.0,5,310,240,110.4229104,-6.9903987999999995
1176,Semarang,1200000000.0,3,140,160,110.4229104,-6.9903987999999995
1177,Jatingaleh,775000000.0,2,45,100,110.423676,-7.0255334000000005
1178,Kembangarum,800000000.0,2,87,87,110.3743815,-6.9959484
1181,Pedurungan,499000000.0,2,60,86,110.4738378,-7.0027211
1183,Muktiharjo,620000000.0,3,96,96,110.4585159,-6.973745699999999
1184,Banyumanik,3500000000.0,3,325,200,110.42012735052951,-7.06802325
1185,Gajahmungkur,1250000000.0,3,120,120,110.41821085,-7.016690199999998
1186,Kalicari,1850000000.0,4,180,211,110.45616740000001,-6.9947557
1187,Miroto,1900000000.0,4,250,150,110.4185768,-6.9836572
1190,Tembalang,1651300000.0,3,126,100,110.45952907126915,-7.04583375
1192,Semarang,700000000.0,2,53,120,110.4229104,-6.9903987999999995
1193,Tembalang,800000000.0,2,90,112,110.45952907126915,-7.04583375
1194,Semarang,437900000.0,2,45,120,110.4229104,-6.9903987999999995
1195,Candi,2500000000.0,4,170,205,110.42878359999999,-7.009822099999999
1196,Tambakharjo,1400000000.0,2,100,153,110.3667517,-6.9804284
1197,Semarang,750000000.0,2,72,145,110.4229104,-6.9903987999999995
1201,Semarang,575000000.0,2,45,105,110.4229104,-6.9903987999999995
1202,Semarang,675000000.0,2,50,93,110.4229104,-6.9903987999999995
1203,Semarang,900000000.0,3,60,182,110.4229104,-6.9903987999999995
1204,Tembalang,1309777150.0,3,100,120,110.45952907126915,-7.04583375
1206,Semarang,557000000.0,2,50,80,110.4229104,-6.9903987999999995
1207,Gajahmungkur,556400000.0,2,45,101,110.41821085,-7.016690199999998
1208,Tembalang,600000000.0,2,38,128,110.45952907126915,-7.04583375
1209,Tembalang,800000000.0,2,58,72,110.45952907126915,-7.04583375
1210,Pedurungan,575220000.0,3,60,100,110.4738378,-7.0027211
1211,Gayamsari,160000000.0,4,82,84,110.44646192711384,-6.9777875
1212,Tembalang,150000000.0,2,36,78,110.45952907126915,-7.04583375
1213,Tambakharjo,1600000000.0,4,116,144,110.3667517,-6.9804284
1214,Banyumanik,1250000000.0,3,80,166,110.42012735052951,-7.06802325
1215,Banyumanik,270000000.0,2,38,66,110.42012735052951,-7.06802325
1216,Banyumanik,550000000.0,2,54,85,110.42012735052951,-7.06802325
1217,Pedurungan,1000000000.0,3,70,202,110.4738378,-7.0027211
1219,Tlogosari,770000000.0,3,71,84,110.4706497,-6.9874018
1220,Banyumanik,2500000000.0,5,300,225,110.42012735052951,-7.06802325
1223,Banyumanik,1439000000.0,3,80,186,110.42012735052951,-7.06802325
1224,Genuk,300000000.0,2,36,72,110.47772717287395,-6.9655030500000015
1225,Ngaliyan,725000000.0,3,72,120,110.32811600554784,-6.99605755
1226,Tambakharjo,1600000000.0,2,75,180,110.3667517,-6.9804284
1227,Tambakharjo,990000000.0,3,108,108,110.3667517,-6.9804284
1229,Sambiroto,850000000.0,2,47,135,110.45565500000001,-7.0324677
1231,Pleburan,2350000000.0,3,200,235,110.42420619999999,-6.9953307
1234,Gunungpati,1650000000.0,3,90,133,110.3545706,-7.092623700000001
1235,Gunungpati,620000000.0,2,70,116,110.3545706,-7.092623700000001
1236,Kedungmundu,750000000.0,4,100,86,110.46755300000001,-7.020575900000001
1237,Banyumanik,650000000.0,3,100,136,110.42012735052951,-7.06802325
1239,Banyumanik,270000000.0,2,50,84,110.42012735052951,-7.06802325
1240,Kedungmundu,480000000.0,2,35,82,110.46755300000001,-7.020575900000001
1241,Banyumanik,465000000.0,2,45,110,110.42012735052951,-7.06802325
1243,Purwosari,1400000000.0,5,190,190,110.415306,-6.9694444
1245,Tembalang,1350000000.0,3,195,195,110.45952907126915,-7.04583375
1246,Tembalang,485000000.0,2,40,96,110.45952907126915,-7.04583375
1247,Tembalang,1285000000.0,2,69,90,110.45952907126915,-7.04583375
1248,Tembalang,1500000000.0,2,93,120,110.45952907126915,-7.04583375
1249,Sampangan,451000000.0,2,45,117,110.391791,-7.011075099999999
1250,Banyumanik,271034400.0,2,38,128,110.42012735052951,-7.06802325
1251,Banyumanik,270000000.0,2,38,128,110.42012735052951,-7.06802325
1252,Genuk,260000000.0,2,60,72,110.47772717287395,-6.9655030500000015
1253,Tlogosari,769999999.0,3,71,84,110.4706497,-6.9874018
1254,Semarang,650000000.0,3,120,120,110.4229104,-6.9903987999999995
1255,Semarang,1500000000.0,3,150,158,110.4229104,-6.9903987999999995
1256,Banyumanik,750000000.0,3,130,100,110.42012735052951,-7.06802325
1257,Tembalang,799000000.0,3,72,90,110.45952907126915,-7.04583375
1258,Tembalang,1000000000.0,3,100,138,110.45952907126915,-7.04583375
1259,Tembalang,575500000.0,2,40,82,110.45952907126915,-7.04583375
1260,Tembalang,635000000.0,2,38,128,110.45952907126915,-7.04583375
1261,Penggaron,400000000.0,2,45,90,110.495274,-7.011687299999999
1262,Semarang,3800000000.0,7,300,214,110.4229104,-6.9903987999999995
1263,Semarang,1850000000.0,3,150,160,110.4229104,-6.9903987999999995
1265,Banyumanik,1100000000.0,4,110,135,110.42012735052951,-7.06802325
1268,Pedurungan,350000000.0,2,36,69,110.4738378,-7.0027211
1269,Semarang,375000000.0,2,40,80,110.4229104,-6.9903987999999995
1273,Pedurungan,440000000.0,3,60,83,110.4826054,-7.008032400000001
1274,Lamper,580000000.0,4,120,128,110.4442827,-7.006344400000001
1275,Pedurungan,520000000.0,2,70,109,110.4738378,-7.0027211
1276,Gunungpati,590000000.0,3,61,128,110.3545706,-7.092623700000001
1277,Pedurungan,500000000.0,3,90,108,110.47735690000002,-7.0176717
1278,Ngaliyan,225000000.0,3,65,65,110.32811600554784,-6.99605755
1280,Gunungpati,435000000.0,2,40,134,110.3545706,-7.092623700000001
1281,Pamularsih,800000000.0,3,70,110,110.3984635,-6.9941508
1282,Karangtempel,1400000000.0,5,200,174,110.43729009999998,-6.989969
1284,Semarang,1300000000.0,2,158,96,110.4229104,-6.9903987999999995
1286,Gajahmungkur,3000000000.0,5,320,218,110.41821085,-7.016690199999998
1287,Bugangan,625000000.0,2,60,132,110.43780149999999,-6.9721173
1289,Papandayan,4000000000.0,3,250,200,110.4042196,-7.012032799999999
1292,Tembalang,1200000000.0,4,90,186,110.45952907126915,-7.04583375
1294,Banyumanik,375000000.0,2,45,72,110.42012735052951,-7.06802325
1295,Banyumanik,1243000000.0,3,80,137,110.42012735052951,-7.06802325
1298,Tembalang,750000000.0,3,59,91,110.45952907126915,-7.04583375
1299,Ngaliyan,3490000000.0,5,190,240,110.32811600554784,-6.99605755
1300,Tlogomulyo,592000000.0,2,45,150,110.48109050000001,-6.9942871
1302,Bangetayu,350000000.0,2,100,100,110.4858112,-6.986492
1306,Tembalang,700000000.0,4,70,90,110.45952907126915,-7.04583375
1309,Tawangsari,1800000000.0,3,100,150,110.38756670000001,-6.9692814
1310,Tlogomulyo,545000000.0,2,45,96,110.48109050000001,-6.9942871
1311,Tembalang,1100000000.0,4,280,150,110.45952907126915,-7.04583375
1312,Kedungmundu,1100000000.0,4,280,150,110.46755300000001,-7.020575900000001
1313,Semarang,500000000.0,2,56,89,110.4229104,-6.9903987999999995
1314,Banyumanik,1350000000.0,4,125,135,110.42012735052951,-7.06802325
1317,Semarang,575000000.0,3,160,164,110.4229104,-6.9903987999999995
1318,Semarang,750000000.0,3,170,100,110.4229104,-6.9903987999999995
1319,Banyumanik,515000000.0,3,60,71,110.42012735052951,-7.06802325
1320,Pedurungan,780000000.0,4,160,112,110.4826054,-7.008032400000001
1321,Majapahit,375000000.0,2,40,75,110.4495412,-7.0027481
1324,Tembalang,985000000.0,3,85,170,110.45952907126915,-7.04583375
1325,Semarang,950000000.0,4,125,208,110.4229104,-6.9903987999999995
1329,Ngaliyan,690000000.0,2,138,120,110.32811600554784,-6.99605755
1330,Tembalang,270000000.0,2,45,102,110.45952907126915,-7.04583375
1331,Panggung,260000000.0,2,100,100,110.4050445,-6.958015299999999
1333,Semarang,1400000000.0,3,80,120,110.4229104,-6.9903987999999995
1335,Tembalang,1100000000.0,3,60,136,110.45952907126915,-7.04583375
1336,Semarang,515000000.0,2,70,75,110.4229104,-6.9903987999999995
1338,Gunungpati,365600000.0,2,44,135,110.3545706,-7.092623700000001
1339,Semarang,750000000.0,3,100,120,110.4229104,-6.9903987999999995
1340,Semarang,600000000.0,3,120,100,110.4229104,-6.9903987999999995
1341,Pedurungan,745000000.0,3,71,84,110.4738378,-7.0027211
1342,Semarang,1100000000.0,3,125,151,110.4229104,-6.9903987999999995
1343,Semarang,990000000.0,3,108,108,110.4229104,-6.9903987999999995
1344,Ngaliyan,600000000.0,2,50,127,110.32811600554784,-6.99605755
1348,Ngaliyan,795000000.0,2,45,152,110.32811600554784,-6.99605755
1349,Semarang,1000000000.0,2,140,180,110.4229104,-6.9903987999999995
1350,Kranggan,650000000.0,2,65,115,110.4263534,-6.9765142
1352,Tembalang,700000000.0,2,61,132,110.45952907126915,-7.04583375
1353,Lamper,530000000.0,2,45,91,110.4389025,-7.0027312
1354,Semarang,550000000.0,2,80,100,110.4229104,-6.9903987999999995
1355,Pleburan,1550000000.0,3,200,102,110.42420619999999,-6.9953307
1356,Gunungpati,389000000.0,2,65,120,110.3545706,-7.092623700000001
1357,Manyaran,775000000.0,3,75,90,110.3854405,-7.0027694
1359,Semarang,900000000.0,4,150,194,110.4229104,-6.9903987999999995
1360,Banyumanik,1050000000.0,4,100,180,110.42012735052951,-7.06802325
1361,Tambakharjo,750000000.0,2,90,90,110.3667517,-6.9804284
1362,Banyumanik,999000000.0,3,140,140,110.42012735052951,-7.06802325
1363,Ngaliyan,900000000.0,6,240,120,110.32811600554784,-6.99605755
1365,Banyumanik,715000000.0,3,130,167,110.42012735052951,-7.06802325
1366,Mlatiharjo,550000000.0,3,100,132,110.4423594,-6.9652784
1367,Purwodinatan,800000000.0,6,208,208,110.42854070000001,-6.9708588
1368,Tembalang,1600000000.0,3,90,114,110.45952907126915,-7.04583375
1369,Genuk,300250000.0,2,45,72,110.47772717287395,-6.9655030500000015
1370,Puri,1300000000.0,4,180,180,110.38619879999999,-6.970017299999999
1372,Banyumanik,550000000.0,3,70,77,110.42012735052951,-7.06802325
1373,Banyumanik,1000000000.0,3,155,155,110.42012735052951,-7.06802325
1374,Banyumanik,3900000000.0,4,270,240,110.42012735052951,-7.06802325
1375,Banyumanik,795000000.0,5,240,120,110.42012735052951,-7.06802325
1376,Banyumanik,841000000.0,3,65,149,110.42012735052951,-7.06802325
1377,Semarang,900000000.0,3,120,120,110.4229104,-6.9903987999999995
1378,Candisari,2500000000.0,4,200,208,110.4308380541579,-7.01431585
1381,Semarang,3250000000.0,3,180,200,110.4229104,-6.9903987999999995
1382,Tembalang,1500000000.0,4,206,117,110.45952907126915,-7.04583375
1383,Ngaliyan,1350002550.0,4,130,120,110.32811600554784,-6.99605755
1384,Banyumanik,695000000.0,2,50,82,110.42012735052951,-7.06802325
1387,Banyumanik,775000000.0,2,100,117,110.42012735052951,-7.06802325
1388,Banyumanik,515000000.0,3,60,80,110.42012735052951,-7.06802325
1389,Banyumanik,345000000.0,2,36,71,110.42012735052951,-7.06802325
1391,Ngaliyan,1175980000.0,3,75,131,110.32811600554784,-6.99605755
1392,Banyumanik,1200000000.0,3,100,180,110.42012735052951,-7.06802325
1395,Pedurungan,724000000.0,3,72,75,110.4738378,-7.0027211
1396,Gayamsari,930000000.0,3,88,91,110.44646192711384,-6.9777875
1397,Semarang,950000000.0,2,168,168,110.4229104,-6.9903987999999995
1398,Manyaran,750000000.0,2,50,90,110.3854405,-7.0027694
1399,Manyaran,600000000.0,3,150,160,110.3854405,-7.0027694
1400,Sampangan,2500000000.0,3,180,180,110.391791,-7.011075099999999
1401,Pedurungan,610000000.0,2,50,95,110.4738378,-7.0027211
1403,Kalibanteng,1000000000.0,3,77,150,110.383427,-6.990997800000001
1404,Kalibanteng,800000000.0,3,120,120,110.383427,-6.990997800000001
1405,Jatingaleh,670000000.0,2,45,89,110.423676,-7.0255334000000005
1406,Tembalang,540000000.0,3,120,90,110.45952907126915,-7.04583375
1409,Tembalang,750000000.0,3,59,91,110.45952907126915,-7.04583375
1410,Ngaliyan,3490000000.0,5,190,240,110.32811600554784,-6.99605755
1411,Tlogomulyo,592000000.0,2,45,150,110.48109050000001,-6.9942871
1412,Tlogomulyo,545000000.0,2,45,96,110.48109050000001,-6.9942871
1415,Lamper,500000000.0,2,63,63,110.4389025,-7.0027312
1416,Tembalang,935000000.0,3,100,120,110.45952907126915,-7.04583375
1417,Gisikdrono,950000000.0,3,150,150,110.3873057,-6.9893054
1419,Manyaran,1200000000.0,2,124,124,110.3854405,-7.0027694
1421,Manyaran,975000000.0,3,130,149,110.3854405,-7.0027694
1424,Tembalang,2500000000.0,4,288,200,110.45952907126915,-7.04583375
1425,Banyumanik,765000000.0,3,70,83,110.42012735052951,-7.06802325
1426,Ngaliyan,495000000.0,2,90,90,110.32811600554784,-6.99605755
